STORE_ID,BUSINESS_MONTH,TOTAL_SALES,TOTAL_ORDER,DELIVERY_SALES,NON_DELIVERY_SALES,DELIVERY_ORDER,NON_DELIVERY_ORDER,DINEIN_SALES,DINEIN_ORDER,TAKEAWAY_SALES,TAKEAWAY_ORDER,DNP_ORDER,SWIGGY_DELIVERY_SALES,SWIGGY_DELIVERY_ORDER,ZOMATO_DELIVERY_SALES,ZOMATO_DELIVERY_ORDER,AMAZON_FOODS_DELIVERY_SALES,AMAZON_FOODS_DELIVERY_ORDER,AMAZON_FOODS_DINEIN_SALES,AMAZON_FOODS_DINEIN_ORDER,AMAZON_FOODS_TAKEAWAY_SALES,AMAZON_FOODS_TAKEAWAY_ORDER,GPAY_DELIVERY_SALES,GPAY_DELIVERY_ORDER,GPAY_DINEIN_SALES,GPAY_DINEIN_ORDER,GPAY_TAKEAWAY_SALES,GPAY_TAKEAWAY_ORDER,PAYTM_MICROAPP_DELIVERY_SALES,PAYTM_MICROAPP_DELIVERY_ORDER,PAYTM_MICROAPP_TAKEAWAY_SALES,PAYTM_MICROAPP_TAKEAWAY_ORDER,PAYTM_MICROAPP_DINEIN_SALES,PAYTM_MICROAPP_DINEIN_ORDER,PHONEPE_DELIVERY_SALES,PHONEPE_DELIVERY_ORDER,DESKTOP_DELIVERY_SALES,DESKTOP_DELIVERY_ORDER,DESKTOP_TAKEAWAY_SALES,DESKTOP_TAKEAWAY_ORDER,IRCTC_DELIVERY_SALES,IRCTC_DELIVERY_ORDER,NEW_APP_ANDROID_DELIVERY_SALES,NEW_APP_ANDROID_DELIVERY_ORDER,NEW_APP_ANDROID_DINEIN_SALES,NEW_APP_ANDROID_DINEIN_ORDER,NEW_APP_ANDROID_DRIVE_PICK_SALES,NEW_APP_ANDROID_DRIVE_PICK_ORDER,NEW_APP_ANDROID_TAKEAWAY_SALES,NEW_APP_ANDROID_TAKEAWAY_ORDER,NEW_APP_IPHONE_DELIVERY_SALES,NEW_APP_IPHONE_DELIVERY_ORDER,NEW_APP_IPHONE_DRIVE_PICK_SALES,NEW_APP_IPHONE_DRIVE_PICK_ORDER,NEW_APP_IPHONE_TAKEAWAY_SALES,NEW_APP_IPHONE_TAKEAWAY_ORDER,PWA_DELIVERY_SALES,PWA_DELIVERY_ORDER,PWA_DINEIN_SALES,PWA_DINEIN_ORDER,PWA_TAKEAWAY_SALES,PWA_TAKEAWAY_ORDER,CALL_CENTER_DELIVERY_SALES,CALL_CENTER_DELIVERY_ORDER,CALL_CENTER_TAKEAWAY_SALES,CALL_CENTER_TAKEAWAY_ORDER,PHONE_DELIVERY_SALES,PHONE_DELIVERY_ORDER,DINEIN_CHANNEL_SALES,DINEIN_CHANNEL_ORDER,ODC_DINEIN_SALES,ODC_DINEIN_ORDER,DINEIN_TAKEAWAY_SALES,DINEIN_TAKEAWAY_ORDER,KIOSK_DINEIN_SALES,KIOSK_DINEIN_ORDER,KIOSK_TAKEAWAY_SALES,KIOSK_TAKEAWAY_ORDER,OLD_APP_ANDROID_TAKEAWAY_SALES,OLD_APP_ANDROID_TAKEAWAY_ORDER,OLD_APP_IPHONE_TAKEAWAY_SALES,OLD_APP_IPHONE_TAKEAWAY_ORDER
AAI63966,9/4/2022,3394514.91,6166,1913365.66,493339.15,4597,1569,13376.5,36,479963.65,1533,1,193179.19,413,391513.41,779,,1,,1,,1,,1,,1,,1,473.33,1,663,3,,1,,1,11177.33,17,,1,,1,1151976.59,3919,7337.95,35,,1,111763.33,396,313995.97,437,,1,19119.16,33,54157.63,111,119,1,7715.99,31,7613.63,15,4331.36,9,1491.7,19,919.99,6,,1,336493.33,1193,,1,,1,,1,,1
AAI65996,9/4/2022,3751613.54,9613,3944631.97,915991.67,6191,3533,444459.9,1333,461531.97,1399,1,335369.91,551,619716.13,1359,,1,,1,,1,,1,,1,,1,331.33,1,,1,,1,,1,7711.31,13,379.14,6,,1,961319.55,3196,39945.93,94,,1,131414.13,371,941713.13,1919,,1,95993.35,359,55964.91,97,519,3,9433.14,17,39499.64,63,19997.96,51,6139.46,14,391993.96,1194,,1,315545.35,596,,1,,1,,1,,1
AAI66994,9/4/2022,3191946.35,5619,1917355.33,394691.13,4411,1319,339191.74,734,155599.39,494,1,319776.57,513,357793.6,916,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,5359.91,11,159,1,,1,953173.71,3373,96916.1,397,,1,93353.71,399,319753.97,445,,1,13791.13,46,43136.59,99,3437.94,9,6179.57,31,7371.41,14,1999,5,3313.57,31,135169.93,373,,1,51439.97,113,,1,,1,,1,,1
AAI66993,9/4/2022,1911517.44,4597,997111.55,914395.99,3373,3334,379499.94,793,535916.95,1533,1,34197.94,99,139791.7,395,,1,,1,,1,,1,,1,,1,3761.7,5,779,3,,1,,1,3913.34,7,3413.14,3,,1,543949.43,1314,41917.49,115,,1,99111.76,365,333519.11,443,,1,49913.99,99,35131.44,79,1655.57,5,9377.4,39,13735.55,33,9644.79,35,1545.55,9,333915.99,643,,1,353969.99,1111,,1,,1,,1,,1
AAI66515,9/4/2022,4149136.3,9331,3131515.66,917631.64,6573,3659,534413.33,1463,393319.31,1195,1,439936.13,919,579517.15,1314,,1,,1,,1,,1,,1,,1,3135.64,6,914,3,546.75,3,,1,13536.49,36,317,1,33199.95,63,1377549.99,3796,53193.93,143,,1,95397.19,331,659363.69,1339,,1,41319.69,99,94947.59,151,3615.59,9,4477.95,16,39359.7,49,3357.43,11,11313.55,34,453157.13,1365,,1,359576.37,935,,1,,1,,1,,1
AAI65773,9/4/2022,5131453.14,11347,3379394.1,1743157.94,6749,4499,1346991.33,3319,496166.61,1191,1,531716.45,1131,775691.57,1671,,1,,1,,1,,1,,1,,1,1769.53,3,763,3,3711.39,3,,1,91715.54,95,439,1,,1,1169397.97,3615,157977.99,435,,1,113193.36,375,531779.79,971,,1,51575.5,131,119311.36,199,33117.11,59,14691.59,37,39797.3,43,11346.5,13,39365.91,43,1115966.15,3699,,1,311191.16,733,,1,4199.61,9,,1,,1
AAI66431,9/4/2022,4393913.41,9919,3916133.9,1397769.61,6937,3191,931994.3,1799,556794.41,1393,1,431951.13,1115,576649.71,1371,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,11919.9,33,1517,4,,1,1454195.33,3561,157967.3,431,,1,135799.16,356,344795.71,913,,1,41366.4,94,56347.75,114,3469.33,9,11433.14,33,31964.16,33,3116,5,11533.33,39,634339.99,1369,,1,375673.91,911,,1,,1,,1,,1
AAI64353,9/4/2022,1976363.79,4911,1331341.41,545933.39,3496,1435,316939.65,535,339993.73,991,1,361195.73,615,346313.96,639,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,997.66,3,,1,,1,571953.51,1699,11379.7,53,,1,45111.75,315,311711.63,443,,1,16665.69,56,33367.43,69,379,1,1543,4,9395.31,15,595.9,1,7737.31,34,191969.4,466,,1,375167.49,614,,1,,1,,1,,1
AAI66976,9/4/2022,3431646.95,5919,1795955.91,635791.94,3991,1939,149349.99,454,497441.95,1375,1,139369.94,315,546919.37,1315,,1,,1,,1,,1,,1,,1,331.33,1,,1,,1,,1,4416.16,9,3591,3,,1,659144.73,1577,33999.43,64,,1,116175.54,313,363631.63,733,,1,49937.57,136,43641.43,79,3174.95,4,9147.11,16,19556.7,39,13615.63,31,13967.93,34,111461.97,354,,1,316195.3,999,,1,,1,,1,,1
AAI66351,9/4/2022,3699699.53,7569,3119936.35,699953.17,5443,3136,397431.17,919,413433.1,1319,1,194595.3,515,399939.34,964,,1,,1,,1,,1,,1,,1,1116.9,3,,1,,1,,1,4631.33,13,644,3,,1,1191439.31,3319,53613.5,331,,1,71713.15,361,337145.69,539,,1,13399.17,39,63111.16,135,4951.19,16,3939,14,15997.14,33,3431,3,14311.4,44,334637.69,657,,1,311431.79,911,,1,,1,,1,,1
AAI66591,9/4/2022,4195315.39,11171,1993417.3,3313799.19,4591,5479,666649.53,1599,1636149.56,3991,1,131339.66,391,335779.91,793,,1,,1,,1,,1,,1,,1,1156.66,3,,1,,1,,1,3919.95,4,,1,,1,1174149.44,3973,166191.15,439,,1,336917.14,761,176693.39,391,,1,39449.31,56,57733.14,119,9696.61,36,7613.95,31,11439.93,34,5493.49,9,3619.53,36,459953.99,1159,,1,1357699.99,3145,,1,,1,,1,,1
AAI66577,9/4/2022,3717139.65,6919,1611335.7,1115693.95,3661,3349,535649.46,1513,591144.49,1736,1,163659.11,333,334937.14,731,,1,,1,,1,,1,,1,,1,,1,1699.65,6,,1,,1,3375.15,6,3154,3,,1,734393.43,1917,71339.47,197,,1,169533,511,334739.73,669,,1,91171.76,163,37995.35,97,1499.14,6,11155.19,33,13174.39,35,1454,6,193.63,6,437751.97,1355,,1,333999,1134,,1,,1,,1,,1
AAI64153,9/4/2022,3394911.93,6417,1354341.14,1141471.99,3944,3463,319197.69,631,933373.19,3933,1,113794.59,347,199716.46,411,,1,,1,,1,,1,,1,,1,413.33,1,,1,,1,,1,3194.15,5,465,3,396191.73,591,519713.13,1199,39697.79,93,,1,134913.94,493,193139.65,396,,1,53359.67,139,31694.71,65,1465.14,3,14165.6,37,13161.9,39,11595.19,31,7554.5,13,159469.73,496,,1,619195,3163,,1,,1,,1,,1
AAI66331,9/4/2022,3593931.99,6665,1531933.33,1171997.66,3597,3179,435913.17,1337,645995.49,1941,1,113531.9,353,313117.37,675,,1,,1,,1,,1,,1,,1,631.33,1,,1,,1,,1,4679.31,9,3333,4,,1,713111.13,1741,73499.6,191,,1,137911.65,419,313513.33,711,,1,63931.39,136,53596.97,115,4614.14,9,9433.59,39,31444.99,41,31333.69,49,31359.39,63,336135.31,993,,1,413374.17,1315,,1,,1,,1,,1
AAI65791,9/4/2022,3999564.37,9749,3641173.11,1349493.36,6145,3614,639345.43,1741,619346.94,1963,1,534939.95,1194,691693.94,1613,,1,,1,,1,,1,,1,,1,1335.94,3,139,1,1119.57,3,,1,16153.57,33,1963.9,7,,1,993411.6,3313,94499.37,337,,1,69375.19,331,431976.53,973,,1,61175.49,164,69791.93,155,6939.91,19,6311.31,19,33453.19,34,11534.43,11,651.69,61,477413.49,1373,,1,471769.74,1433,,1,,1,,1,,1
AAI66191,9/4/2022,3451913.43,6459,1595643.55,956159.97,3911,3549,539413.93,1599,316745.95,951,1,36649.16,111,396716.44,916,,1,,1,,1,,1,,1,,1,3451.94,4,,1,,1,,1,11914.39,4,3313.57,3,,1,999165.64,3191,39341.37,99,,1,73313.65,353,369473.39,593,,1,39369.97,73,57369.34,139,1516.9,5,5193.71,15,31933.31,41,6111.65,15,11193.35,33,513171.97,1479,,1,311566.4,493,,1,,1,,1,,1
AAI64397,9/4/2022,1939634.33,5311,1413171.44,417553.79,3677,1633,51455.63,333,366197.15,1391,1,43699.91,116,133996.55,311,,1,,1,,1,,1,,1,,1,567.33,1,,1,,1,,1,35419.67,31,,1,394516.41,793,634513.63,3111,34111.47,119,,1,96697.15,417,133331.31,316,,1,19557.99,73,37367.15,95,4154.39,15,3339,11,9519.63,7,3143.39,5,1353.16,19,19439.33,79,,1,345361.93,995,,1,,1,,1,,1
AAI66193,9/4/2022,1746516.33,4315,,1746516.33,1,4315,1319973.14,3311,436543.19,1114,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,799.46,3,,1,,1,111991.59,346,,1,91445.15,339,,1,,1,45336.96,94,,1,3111.13,9,365,1,,1,1697.14,4,,1,1169311.95,3953,,1,319119.67,695,,1,,1,,1,,1
AAI67159,9/4/2022,3463675.69,6477,1633137.7,1939547.99,3551,3936,575539.73,937,1354119.37,1999,1,169597.13,349,111759.13,317,,1,,1,,1,,1,,1,,1,1194.14,3,339,1,,1,,1,3557.11,11,535,1,,1,1133773.4,3331,16391.69,43,,1,135513.95,339,196963.13,343,,1,35566.17,59,113437.99,191,916.9,3,7769.33,14,11636.76,33,11474.13,16,33341.33,99,551911.16,969,,1,1173943.91,1591,,1,,1,,1,,1
AAI67169,9/4/2022,1396453.11,3346,,1396453.11,1,3346,1151335.4,3935,335317.71,531,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,33394.73,59,,1,31731.99,53,,1,,1,5763.19,13,,1,,1,,1,,1,739,3,,1,1133937.96,3759,,1,317114.65,454,,1,,1,,1,,1
AAI66579,9/4/2022,3631441.59,5367,1144555.19,1496995.39,3519,3959,761319.19,1379,735566.31,1491,1,319544.99,475,134511.99,331,,1,,1,,1,,1,,1,,1,469.47,1,,1,175.14,1,,1,4171.33,9,611.14,1,,1,556694.99,1345,99699.39,175,,1,131491.13,379,174519.9,339,,1,41917.34,93,43131.99,99,6143.61,11,13364,37,17133.9,34,17941.13,13,5599.95,9,646134.93,1163,,1,531473.99,1179,,1,,1,,1,,1
AAI67143,9/4/2022,3553517.47,5431,1663131.53,991395.95,3714,1717,449374.93,999,441111.13,919,1,415133.7,939,416491.74,999,,1,,1,,1,,1,,1,,1,349.47,1,,1,,1,,1,9511.64,17,5415.33,4,,1,576397.63,1339,76333.33,147,,1,136155.19,343,313341.15,433,,1,49156.1,79,39173.11,69,9319.79,17,34334.93,33,4333.43,11,9415.67,13,634.66,19,341599.74,679,,1,317733.94,459,,1,,1,,1,,1
AAI66137,9/4/2022,4147594.73,11711,3579734.54,1569951.19,6319,4391,373463.9,777,1396396.39,3614,1,331949.73,793,431161.57,1156,,1,,1,,1,,1,,1,,1,1519.56,4,57.14,1,169,1,,1,7393.5,16,314.66,1,,1,1364956.51,3164,116573.79,393,,1,317175.37,657,466133.56,1149,,1,64591.97,169,64771.39,153,4151.39,13,6416.13,33,15365.63,34,7795.69,19,5996.3,53,133913.54,414,,1,1111145.53,3745,,1,,1,,1,,1
AAI64169,9/4/2022,3355113.31,6546,1631191.75,1634931.46,3149,3397,453934.16,1116,1191996.4,3391,1,394133.35,551,396931.77,771,,1,,1,,1,,1,,1,,1,493.33,1,459,1,596,3,,1,13596.13,33,,1,,1,463611.31,1157,74677.73,133,,1,91375.44,197,355915.43,613,,1,119766.67,174,49717.69,99,1953.95,4,11971.35,33,14136.11,33,14957.99,13,33799.94,34,336513.17,793,,1,347599.74,779,,1,619159.31,1194,,1,,1
AAI66737,9/4/2022,3136919.9,5191,1413973.69,713936.13,3377,1713,446959.67,1117,366176.45,596,1,194941.17,446,343937.19,933,,1,,1,,1,,1,,1,,1,463.33,1,,1,,1,,1,4799.13,9,99,1,,1,739331.91,1753,59673.13,149,,1,49519.13,144,91469.3,313,,1,9397.33,31,49761.93,111,3313.9,7,3334.14,7,5117.4,11,319,1,6396.64,31,376179.41,937,,1,314551.15,433,,1,,1,,1,,1
AAI63931,9/4/2022,3135511.46,4919,1434177.93,711433.53,3576,3343,491713,1611,319711.53,631,1,349193.53,517,393337.6,545,,1,,1,,1,,1,,1,,1,1551.33,1,439,1,,1,,1,19779.71,16,,1,,1,511354.64,1191,71511.54,359,,1,66595.53,314,161699.39,397,,1,6951.16,33,46149.73,91,3197.14,9,7136.67,19,33441.99,37,1694.9,5,51793.14,13,417999.31,1319,,1,61197.33,163,,1,66737.14,319,,1,,1
AAI64471,9/4/2022,1437346.69,3116,1171933.49,355534.19,3341,966,319153.66,546,136371.53,331,1,351156.51,496,354391.9,563,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,4311.36,4,,1,,1,391133.63,956,13739.97,35,,1,19597.75,46,149343.91,371,,1,13435.46,31,31315.73,39,3749.71,3,1739,4,4991.4,7,1135,3,6499.15,15,196747.47,497,,1,111594.33,347,,1,,1,,1,,1
AAI64371,9/4/2022,1115733.69,3561,746319.17,359413.53,1791,771,113193.14,316,147311.39,455,1,155414.91,336,163556.55,419,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,339557.34,949,13477.16,49,,1,35363.37,111,74351.11,135,,1,3717.99,9,16334.33,34,,1,1191,3,4153.43,9,99,1,5163.73,19,97411.19,363,,1,119151.13,333,,1,,1,,1,,1
AAI66634,9/4/2022,3141663.56,6144,1551963.76,599699.9,4315,1939,339936.69,1166,349963.11,963,1,416593.16,1176,396611.99,1159,,1,,1,,1,,1,,1,,1,,1,139,1,,1,,1,9417.14,33,1514,3,,1,543955.53,1513,31737.14,95,,1,57316.79,199,166919.44,399,,1,15167.19,54,33631.35,53,1995.6,4,5113.39,15,4141.74,11,139,1,1915.53,6,317919.43,947,,1,171633.96,611,,1,,1,,1,,1
AAI64167,9/4/2022,1551564.41,3477,931693.17,639971.34,3191,1396,399195.96,619,339775.39,669,1,63176.94,151,361396.79,613,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,1359.3,4,,1,,1,441597.94,1193,34535.19,96,,1,61131.34,316,131597.43,376,,1,13933.61,33,36314.65,57,1597.14,6,4663.95,11,1137.33,5,413,3,9333.99,3,355936.63,499,,1,349754.49,419,,1,,1,,1,,1
